iata_code,name,municipality,iso_country,iso_region,type,latitude_deg,longitude_deg
CZL,Mohamed Boudiaf International Airport,Constantine,DZ,DZ-25,large_airport,36.276001,6.62039
CZM,Cozumel International Airport,Cozumel,MX,MX-ROO,large_airport,20.514922,-86.928538
CZS,Cruzeiro do Sul Airport,Cruzeiro Do Sul,BR,BR-AC,medium_airport,-7.59991,-72.769501
CZU,Las Brujas Airport,Corozal,CO,CO-SUC,medium_airport,9.33274,-75.2856
CZX,Changzhou Benniu International Airport,Changzhou,CN,CN-32,medium_airport,31.920485,119.77546
DAB,Daytona Beach International Airport,Daytona Beach,US,US-FL,medium_airport,29.18255,-81.059464
DAC,Hazrat Shahjalal International Airport,Dhaka,BD,BD-C,large_airport,23.843347,90.397783
DAD,Da Nang International Airport,Da Nang,VN,VN-SCC,large_airport,16.0439,108.198997
DAL,Dallas Love Field,Dallas,US,US-TX,large_airport,32.844776,-96.847653
DAM,Damascus International Airport,Damascus,SY,SY-DI,large_airport,33.4114990234375,36.51559829711914
DAR,Julius Nyerere International Airport,Dar es Salaam,TZ,TZ-02,large_airport,-6.873499,39.207288
DAT,Datong Yungang International Airport,Datong,CN,CN-14,large_airport,40.06139,113.480509
DAU,Daru Airport,Daru,PG,PG-WPD,medium_airport,-9.08676,143.207993
DAV,Enrique Malek International Airport,David,PA,PA-4,medium_airport,8.388983,-82.436425
DAX,Dachuan Airport,Dazhou (Daxian),CN,CN-51,small_airport,31.1302,107.4295
DAY,James M. Cox Dayton International Airport,Dayton,US,US-OH,medium_airport,39.902401,-84.219398
DBA,Dalbandin Airport,Dalbandin,PK,PK-BA,small_airport,28.878299713100002,64.3998031616
DBB,El Alamein International Airport,El Alamein,EG,EG-MT,large_airport,30.924324,28.46161
DBC,Baicheng Chang'an Airport,Baicheng,CN,CN-22,medium_airport,45.505278,123.019722
DBM,Debre Markos Airport,Debre Markos,ET,ET-AM,small_airport,10.321501,37.741887
DBO,Dubbo City Regional Airport,Dubbo,AU,AU-NSW,medium_airport,-32.2167015076,148.574996948
DBQ,Dubuque Regional Airport,Dubuque,US,US-IA,medium_airport,42.402,-90.709503
DBR,Darbhanga Airport,Darbhanga,IN,IN-BR,medium_airport,26.192801,85.916901
DBV,Dubrovnik Ruđer Bošković Airport,Dubrovnik,HR,HR-19,large_airport,42.562247,18.265543
DCA,Ronald Reagan Washington National Airport,Washington,US,US-DC,large_airport,38.8521,-77.037697
DCF,Canefield Airport,Canefield,DM,DM-10,medium_airport,15.336693,-61.392108
DCM,Castres Mazamet Airport,Castres,FR,FR-OCC,medium_airport,43.556301,2.28918
DCY,Daocheng Yading Airport,Garzê (Daocheng),CN,CN-51,medium_airport,29.31632,100.060317
DDC,Dodge City Regional Airport,Dodge City,US,US-KS,medium_airport,37.76340103149414,-99.9655990600586
DDG,Dandong Langtou International Airport,Dandong (Zhenxing),CN,CN-21,medium_airport,40.025453,124.28669
DDR,Shigatse Tingri Airport,Xigazê (Dingri),CN,CN-54,medium_airport,28.604567,86.798
DEA,Dera Ghazi Khan Airport,Dera Ghazi Khan,PK,PK-PB,medium_airport,29.961000442504883,70.48590087890625
DEB,Debrecen International Airport,Debrecen,HU,HU-HB,large_airport,47.489469,21.616278
DEC,Decatur Airport,Decatur,US,US-IL,medium_airport,39.834598541259766,-88.8656997680664
DED,Dehradun Jolly Grant Airport,Dehradun (Jauligrant),IN,IN-UT,medium_airport,30.189243,78.176651
